product_id,product_name,category,subcategory,brand,unit_price,cost_price,stock_quantity,reorder_level,is_active
PROD001,Ultra Comfort Running Shoes,Footwear,Athletic,SportMax,129.99,52.00,245,50,True
PROD002,Classic Denim Jacket,Apparel,Outerwear,UrbanStyle,89.95,36.00,180,40,True
PROD003,Wireless Noise-Cancel Earbuds,Electronics,Audio,SoundWave,199.99,78.00,320,75,True
PROD004,Organic Cotton T-Shirt,Apparel,Tops,EcoWear,34.99,12.50,520,100,True
PROD005,Smart Fitness Watch,Electronics,Wearables,TechFit,249.99,105.00,150,30,True
PROD006,Leather Crossbody Bag,Accessories,Bags,LuxCraft,159.00,64.00,95,20,True
PROD007,Premium Yoga Mat,Sports,Fitness,ZenGear,45.99,15.00,410,80,True
PROD008,Stainless Steel Water Bottle,Home,Kitchen,EcoLife,24.99,8.50,680,150,True
PROD009,Wool Blend Scarf,Accessories,Scarves,CozyKnit,49.95,18.00,290,60,True
PROD010,LED Desk Lamp,Home,Lighting,BrightSpace,79.99,32.00,175,35,True
PROD011,Bamboo Sunglasses,Accessories,Eyewear,NatureView,65.00,22.00,230,50,True
PROD012,Performance Hiking Boots,Footwear,Outdoor,TrailPro,179.99,72.00,120,25,True
PROD013,Ceramic Coffee Mug Set,Home,Kitchen,ArtBrew,29.99,10.00,350,70,True
PROD014,Stretch Fit Yoga Pants,Apparel,Activewear,FlexForm,59.99,22.00,440,90,True
PROD015,Portable Bluetooth Speaker,Electronics,Audio,SoundWave,89.99,35.00,260,55,True
PROD016,Canvas Tote Bag,Accessories,Bags,EcoWear,19.99,6.50,550,120,True
PROD017,Merino Wool Sweater,Apparel,Tops,CozyKnit,119.99,48.00,160,30,True
PROD018,Insulated Travel Tumbler,Home,Kitchen,EcoLife,32.99,11.00,480,100,True
PROD019,Trail Running Shorts,Apparel,Activewear,SportMax,44.99,16.00,310,65,True
PROD020,Aromatherapy Diffuser,Home,Wellness,ZenGear,54.99,20.00,200,40,True
PROD021,Vintage Leather Wallet,Accessories,Wallets,LuxCraft,74.99,28.00,185,35,False
PROD022,Kids Raincoat,Apparel,Kids,FunWear,39.99,14.00,275,55,True
PROD023,Resistance Band Set,Sports,Fitness,FlexForm,27.99,9.00,390,80,True
PROD024,Organic Lip Balm 3-Pack,Beauty,Skincare,PureGlow,12.99,3.50,720,200,True
PROD025,Silk Sleep Mask,Beauty,Sleep,DreamSoft,22.99,7.00,340,70,True
